,id,pop,phage,immune,susceptible,richness,phageRichness,pS,b,a,c,f,beta,adsp,d,m,l,popinit,phageinit,nodf,Q
0,a6abe462-6bf4-11eb-bd30-1bd471c35062,101010.10101010399,8990825.688071378,1.5833938959985971e-07,101010.10100994565,2,16,1.640771593047928e-08,1.2,1000000.0,0.01,0.0,100,1e-08,0.1,3.564408380181795e-09,0.9,100000.0,10000000.0,46.28099,0.1508916
1,a6adffd6-6bf4-11eb-bd30-1bd471c35062,188010.95552801457,1008271.1752573247,87011.88727478345,100999.06825323112,2,3,3.9883670966640685e-08,1.2,1000000.0,0.01,0.0,100,1e-08,0.1,6.0453638247581335e-09,0.9,100000.0,10000000.0,0,
2,a6afa2f0-6bf4-11eb-bd30-1bd471c35062,189011.73241039822,561065.3786451905,115261.19490092395,73750.53750947428,6,1716,1.6129119788048038e-07,1.2,1000000.0,0.01,0.0,100,1e-08,0.1,7.544054268364164e-07,0.9,100000.0,10000000.0,70.33668,0.1158635
3,a6b13020-6bf4-11eb-bd30-1bd471c35062,101010.02711699481,8990831.425442696,0.0,101010.02711699481,1,2407,5.125029404122837e-09,1.2,1000000.0,0.01,0.0,100,1e-08,0.1,5.277449151348211e-07,0.9,100000.0,10000000.0,,
4,a6b2a0ea-6bf4-11eb-bd30-1bd471c35062,101010.0937289448,8990826.378559284,0.0,101010.0937289448,2,427,1.0334340906948954e-08,1.2,1000000.0,0.01,0.0,100,1e-08,0.1,9.377917322837035e-08,0.9,100000.0,10000000.0,6.795892,0.01755879
5,a6b3ffda-6bf4-11eb-bd30-1bd471c35062,101010.09556066385,8990826.105528645,0.0,101010.09556066385,1,303,2.0742917119111245e-09,1.2,1000000.0,0.01,0.0,100,1e-08,0.1,7.338434015575287e-08,0.9,100000.0,10000000.0,,
6,a6b5511e-6bf4-11eb-bd30-1bd471c35062,101010.09983062773,8990825.595812771,0.0,101010.09983062773,1,330,5.180949691523157e-09,1.2,1000000.0,0.01,0.0,100,1e-08,0.1,7.456015956176334e-08,0.9,100000.0,10000000.0,,
7,a6b68fca-6bf4-11eb-bd30-1bd471c35062,101010.10148831064,8990825.676685631,0.0,101010.10148831064,1,200,4.3709114856693794e-09,1.2,1000000.0,0.01,0.0,100,1e-08,0.1,4.279118259708943e-08,0.9,100000.0,10000000.0,,
8,a6b7c480-6bf4-11eb-bd30-1bd471c35062,101010.10103954287,8990825.685567793,7.62520357966423e-09,101010.10103953525,2,25,3.1251123532086215e-08,1.2,1000000.0,0.01,0.0,100,1e-08,0.1,5.324856683892112e-09,0.9,100000.0,10000000.0,45.51495,0.154195
9,a6b8f2a6-6bf4-11eb-bd30-1bd471c35062,101010.09704337368,8990825.992173512,0.0,101010.09704337368,1,327,1.6758955999084714e-09,1.2,1000000.0,0.01,0.0,100,1e-08,0.1,7.464455842100067e-08,0.9,100000.0,10000000.0,,
10,a6ba132a-6bf4-11eb-bd30-1bd471c35062,101010.10112343723,8990825.738046492,0.0,101010.10112343723,1,171,2.9159518935061903e-09,1.2,1000000.0,0.01,0.0,100,1e-08,0.1,3.6237501781425e-08,0.9,100000.0,10000000.0,,
11,a6bb2986-6bf4-11eb-bd30-1bd471c35062,188740.5350838837,864690.3443198521,91529.61659014928,97210.91849373443,5,6,4.342051353980223e-07,1.2,1000000.0,0.01,0.0,100,1e-08,0.1,7.3661300547063695e-09,0.9,100000.0,10000000.0,52,0.38
12,a6bc3560-6bf4-11eb-bd30-1bd471c35062,101010.0593408596,8990829.39861371,0.0,101010.0593408596,1,1893,3.6263874974700816e-08,1.2,1000000.0,0.01,0.0,100,1e-08,0.1,4.001939574438596e-07,0.9,100000.0,10000000.0,,
13,a6bd3d98-6bf4-11eb-bd30-1bd471c35062,187374.7492909952,1112450.2540445742,85980.47466894455,101394.27462205067,7,10,2.6398960797310996e-07,1.2,1000000.0,0.01,0.0,100,1e-08,0.1,4.680253241849726e-09,0.9,100000.0,10000000.0,56.81818,0.2272727
