,pop,phage,immune,vulnerable,richness,phageRichness,pS,b,a,c,beta,adsp,d,m,l,popinit,phageinit
0,4442272.028910888,0.0,4442272.028910888,0.0,11.0,7.0,1e-06,1.5,10000000.0,0.03718186473927403,186.0,2.9867270207272045e-08,0.1950982691760695,1.475777972004754e-09,0.9,2143406.4695127835,2056194.916734632
1,3785461.0972987083,0.0,3785461.0972987083,0.0,7.0,2.0,1e-06,1.5,10000000.0,0.08096926018008613,79.0,7.243472330115406e-09,0.03785338038381479,6.748449153785821e-09,0.9,1588198.8765907942,1211376.4954947203
2,4955742.242712568,0.0,4149351.614886457,806365.4158123347,19.0,33.0,1e-06,1.5,10000000.0,0.0035198559790763813,146.0,1.1700044293549252e-09,0.18484407123237948,2.9253557173747788e-08,0.9,1506182.7236052705,418467.4848964592
3,4687102.401379611,0.0,4687102.401379611,0.0,12.0,89.0,1e-06,1.5,10000000.0,0.020859839908025618,103.0,1.0354285469509227e-08,0.025355846443445008,1.3219262153368907e-07,0.9,3174006.1093963217,2220501.4812569446
4,4981704.45001224,0.0,4981704.45001224,0.0,7.0,28.0,1e-06,1.5,10000000.0,0.0012197033325156527,119.0,2.940455317028234e-09,0.13723196630479248,3.026569915226679e-08,0.9,2175949.781235682,553786.214834838
5,4971658.032430818,0.0,4971658.032430818,0.0,5.0,23.0,1e-06,1.5,10000000.0,0.0018894645046120544,109.0,2.200506651963942e-08,0.09002940290480611,5.0277675174238106e-08,0.9,1480870.1012644235,5767959.202999577
6,4867763.687986291,0.0,4867763.687986291,0.0,7.0,294.0,1e-06,1.5,10000000.0,0.008815754134247272,133.0,2.7943006752654458e-08,0.030171538983743116,2.9132973929060235e-07,0.9,3737046.0782838473,306798.3810828949
7,4991001.548799909,0.0,488375.3765283698,4502576.741237372,20.0,7.0,1e-06,1.5,10000000.0,0.006063167918150727,75.0,1.9141351266434717e-09,0.17799564658498823,4.7084680882401546e-09,0.9,423077.2681914602,103710.16955958244
8,4767091.420567236,0.0,4767091.420567236,0.0,11.0,10.0,1e-06,1.5,10000000.0,0.015527238628850967,119.0,1.3012763121626986e-08,0.15187538919115215,9.957127811609224e-09,0.9,779176.1315015547,148851.06511117125
9,3617702.7898169267,0.0,3617702.7898169267,0.0,7.0,37.0,1e-06,1.5,10000000.0,0.09215314734553816,182.0,2.878442877405881e-09,0.21712579577033006,2.8793914335948e-08,0.9,792901.1571282046,2269183.1262120306
10,4921229.194459886,0.0,4921229.194459886,0.0,6.0,19.0,1e-06,1.5,10000000.0,0.005251387036007553,163.0,5.630136536602278e-09,0.22782458862004196,1.4339187846765019e-08,0.9,1901336.3948703192,300501.57516732934
11,4952407.132702218,0.0,4952407.132702218,0.0,2.0,45.0,1e-06,1.5,10000000.0,0.003172857819850833,189.0,2.5937680392196508e-08,0.26395444049632116,5.885675060887215e-08,0.9,425312.0989036201,185612.94348797304
12,4250815.771160207,0.0,4250815.771160206,0.0,4.0,17.0,1e-06,1.5,10000000.0,0.049945615255986196,73.0,6.061661258491679e-08,0.11729380097247843,7.109255504972479e-08,0.9,575072.9738324693,2725320.815815449
13,4978411.157800622,0.0,4978411.157800622,0.0,8.0,4.0,1e-06,1.5,10000000.0,0.0014392561466251604,148.0,1.2538923861397373e-09,0.1316336340803064,3.282476597444807e-09,0.9,2278366.99600736,267684.11673073657
14,3757941.827148619,0.0,3757941.827148619,0.0,6.0,262.0,1e-06,1.5,10000000.0,0.08280387819007254,73.0,4.418084850013564e-09,0.11574320499796233,4.258031910853145e-07,0.9,227256.42381384657,572228.4082124664
15,4983570.889563342,0.0,4983570.889563344,0.0,14.0,9.0,1e-06,1.5,10000000.0,0.0010952740291097433,147.0,3.109121438938217e-08,0.04656731178932607,5.4145236214389866e-09,0.9,2668197.8251999333,523885.1177153603
16,4834021.740344804,0.0,4834021.740344804,0.0,9.0,7.0,1e-06,1.5,10000000.0,0.011065217310346386,114.0,4.7956733096332524e-09,0.07103279636192206,6.604048880978183e-09,0.9,153401.7584283343,402491.64965413325
17,3668989.238401858,0.0,3668989.238401858,0.0,8.0,12.0,1e-06,1.5,10000000.0,0.0887340507732094,165.0,1.4834593044796561e-09,0.2544106431423019,1.0116934620756919e-08,0.9,1355322.1655824587,2369447.9888252527
18,4884269.996688507,0.0,4884269.996688507,0.0,11.0,4.0,1e-06,1.5,10000000.0,0.007715333554099636,105.0,5.809258522440653e-09,0.21192296542302608,1.4279823888797666e-08,0.9,246044.61184424025,8601975.84755689
19,4888541.2613199055,0.0,4888541.26131989,0.0,77.0,32.0,1e-06,1.5,10000000.0,0.0074305825786737355,135.0,9.230240446237345e-08,0.24543997836635756,3.0576637680727966e-09,0.9,9144284.105912348,1257796.6896147307
20,4984627.584002818,0.0,4984627.584002818,0.0,6.0,2.0,1e-06,1.5,10000000.0,0.0010248277331454231,155.0,8.30908999614141e-08,0.23519155446550755,5.649932273835688e-09,0.9,617225.5971109715,1029385.0514611906
21,4544382.465900399,0.0,4544382.465900399,0.0,7.0,7.0,1e-06,1.5,10000000.0,0.03037450227330668,83.0,7.626806300565713e-09,0.02295813841205834,5.875523591760044e-09,0.9,103094.60858351737,132009.08037833142
22,4983370.532152131,0.0,4983370.532152131,0.0,4.0,3.0,1e-06,1.5,10000000.0,0.0011086311898579238,119.0,8.090586900028619e-08,0.14168309130745974,2.3238144458477616e-09,0.9,457250.2984357155,518265.52454984013
23,4812959.752067935,0.0,4812959.752067935,0.0,16.0,753.0,1e-06,1.5,10000000.0,0.01246934986213775,165.0,1.6907784158776914e-08,0.2887390940664792,4.277025330194396e-07,0.9,3660805.492586754,119746.85350229265
24,4983300.701335319,0.0,4983300.701335319,0.0,7.0,2.0,1e-06,1.5,10000000.0,0.001113286577645271,61.0,8.087524211370224e-09,0.028336536708502856,1.2280416550650952e-09,0.9,2212992.2107019383,4901772.985140965
25,4287471.555172359,0.0,4287471.555172359,0.0,7.0,5.0,1e-06,1.5,10000000.0,0.04750189632184279,199.0,5.557957161871414e-09,0.21308717011682615,4.925437651476712e-09,0.9,153567.74628753934,1066540.9999384107
26,3662890.9316476914,0.0,3662890.9316476914,0.0,10.0,1.0,1e-06,1.5,10000000.0,0.08914060455682064,55.0,7.861402619979458e-09,0.26710983121914783,1.1331049384594491e-09,0.9,4429318.132202184,161862.0593545036
27,4145519.8836614257,0.0,4145519.8836614257,0.0,5.0,1.0,1e-06,1.5,10000000.0,0.056965341089238244,115.0,2.8535079811140306e-08,0.09649952104291573,1.1376085724934173e-09,0.9,2967229.5330004813,7468567.523741257
28,4733621.636604694,0.0,4733621.636604694,0.0,10.0,63.0,1e-06,1.5,10000000.0,0.01775855755968704,97.0,1.851322485266324e-09,0.10973582420321967,9.80948076231704e-08,0.9,210675.56784395376,1445727.312534402
29,4906523.194425378,0.0,4906523.194425377,0.0,9.0,556.0,1e-06,1.5,10000000.0,0.006231787038307122,178.0,1.1951982617561198e-08,0.08880178930771337,7.357913101151045e-07,0.9,130537.18449751346,1086305.2038039404
30,3701841.2015074203,0.0,3701841.2015074203,0.0,7.0,4.0,1e-06,1.5,10000000.0,0.08654391989950533,145.0,6.919754780562791e-09,0.02867447597860373,3.3566167514630126e-09,0.9,1812648.783910906,4819091.060707017
31,4897677.2469931,0.0,4897677.246993104,0.0,37.0,262.0,1e-06,1.5,10000000.0,0.006821516867101185,186.0,8.218118208896525e-08,0.270290261843054,3.1087559105093266e-08,0.9,2832220.2695248844,6093219.972283956
32,3676117.440677392,0.0,3676117.440677392,0.0,15.0,3.0,1e-06,1.5,10000000.0,0.08825883728817395,55.0,1.208567619077627e-08,0.12139188610044564,1.3562362363032817e-09,0.9,108273.33495345409,114000.5490598233
33,4979270.852284571,0.0,4979270.85228457,0.0,14.0,814.0,1e-06,1.5,10000000.0,0.0013819431806718345,164.0,4.015560555584453e-09,0.03998429216632142,6.424740512754665e-07,0.9,4641757.600642848,8231521.84201549
34,4977644.40387331,0.0,4977644.40387331,0.0,7.0,3.0,1e-06,1.5,10000000.0,0.0014903730751126094,148.0,4.9432418815543175e-09,0.23986920945474602,1.0757804718940891e-09,0.9,6418868.665728632,3541455.9239688064
35,4983734.787037747,0.0,4396653.128193644,587079.3092350165,16.0,15.0,1e-06,1.5,10000000.0,0.0012287827575632028,64.0,2.5112361621843904e-09,0.19489715281126105,2.7002118378311732e-08,0.9,168800.9908634935,1618482.4468445121
36,4534282.4465921465,0.0,4534282.446592146,0.0,17.0,1290.0,1e-06,1.5,10000000.0,0.031047836893825405,112.0,6.527738859765388e-08,0.27597877386147085,5.161241864027892e-07,0.9,4236038.30772734,3096653.304762093
37,4975483.226167482,0.0,4975483.226167478,0.0,29.0,47.0,1e-06,1.5,10000000.0,0.0016344515888346107,184.0,4.4836265135947544e-08,0.28563395961382093,5.065201858946522e-09,0.9,4425111.218116016,6172490.200364101
38,4981601.393829763,0.0,4981601.393829763,0.0,14.0,5.0,1e-06,1.5,10000000.0,0.0012265737446824532,105.0,9.8287967908759e-09,0.2829951440333582,6.675494128778383e-09,0.9,1535494.4047333018,380550.9836415848
39,4814472.287975981,0.0,4814472.287975981,0.0,6.0,330.0,1e-06,1.5,10000000.0,0.012368514134929098,88.0,5.274568389745616e-09,0.24275529900535833,5.001331997222618e-07,0.9,970354.5066661611,2380321.4115437944
40,4898663.625165747,0.0,4898663.625165747,0.0,35.0,63.0,1e-06,1.5,10000000.0,0.006755758322283628,144.0,4.8678659983899266e-08,0.12483953343369264,1.2489899236740839e-08,0.9,5098051.0309786275,7142119.869690497
41,4980060.1581906,0.0,4980060.158190601,0.0,10.0,41.0,1e-06,1.5,10000000.0,0.0013293227872929023,99.0,3.3480252917683405e-09,0.25684707762120035,3.255751757822842e-08,0.9,122034.20891066865,1076142.0586461632
42,4791416.3311444055,2547026.3919386347,4791416.3311444055,0.0,2.0,90.0,1e-06,1.5,10000000.0,0.013905577923706116,112.0,2.3863704044630678e-08,0.0043754963436893,4.742200929512261e-07,0.9,195888.1928336496,3828667.406088133
43,4978466.515928842,0.0,4978466.515928844,0.0,10.0,480.0,1e-06,1.5,10000000.0,0.0014355656047341564,64.0,7.31065108117963e-09,0.02788837783243322,9.94701979864744e-07,0.9,2305166.0986291156,2619083.373626561
