,id,pop,phage,immune,susceptible,richness,phageRichness,pS,b,a,c,f,beta,adsp,d,m,l,popinit,phageinit,nodf,Q,m_final,m_diff
78,ffef0482-2c24-11ec-a5b6-fbfaf7786e70,187114.76848559533,1047783.9392193691,92045.29505812137,95069.47342747396,19,1484,1e-06,1.2,1000000.0,0.01,0.0,100,1e-08,0.1,1e-07,0.9,100000.0,10000000.0,68.87708,0.2609047,1e-06,9e-07
79,fff0094a-2c24-11ec-a5b6-fbfaf7786e70,175253.5516177779,2079819.2620805064,125716.98746326639,49536.564154511514,19,1351,1e-06,1.2,1000000.0,0.01,0.0,100,1e-08,0.1,1e-07,0.9,100000.0,10000000.0,66.5221,0.294786,9.999999999999997e-07,8.999999999999997e-07
80,fff10e4e-2c24-11ec-a5b6-fbfaf7786e70,188015.764441661,1006972.2287127543,86422.38597281722,101593.37846884379,6,764,1e-06,1.2,1000000.0,0.01,0.0,100,1e-08,0.1,1e-07,0.9,100000.0,10000000.0,56.76699,0.2364633,6.338621320623402e-07,5.338621320623402e-07
81,fff213ac-2c24-11ec-a5b6-fbfaf7786e70,186113.7740700428,654907.0238956907,148949.58278184567,37164.19128819712,10,1092,1e-06,1.2,1000000.0,0.01,0.0,100,1e-08,0.1,1e-07,0.9,100000.0,10000000.0,59.65027,0.2570329,9.999999999999995e-07,8.999999999999995e-07
82,fff31860-2c24-11ec-a5b6-fbfaf7786e70,179282.80261921012,1693972.8242528103,122096.69466768939,57186.107951520746,17,1297,1e-06,1.2,1000000.0,0.01,0.0,100,1e-08,0.1,1e-07,0.9,100000.0,10000000.0,67.64235,0.3973226,1e-06,9e-07
83,fff421ce-2c24-11ec-a5b6-fbfaf7786e70,188187.80146634602,979032.5035139542,85922.8685933637,102264.93287298232,10,1271,1e-06,1.2,1000000.0,0.01,0.0,100,1e-08,0.1,1e-07,0.9,100000.0,10000000.0,65.44344,0.4178712,1e-06,9e-07
84,fff5277c-2c24-11ec-a5b6-fbfaf7786e70,187978.28652889386,1012850.9021939622,86221.46918143432,101756.81734745954,13,804,1e-06,1.2,1000000.0,0.01,0.0,100,1e-08,0.1,1e-07,0.9,100000.0,10000000.0,60.57013,0.3499139,9.999999913765714e-07,8.999999913765714e-07
85,fff62c8a-2c24-11ec-a5b6-fbfaf7786e70,187902.26530855967,1023531.3331845964,83846.09278054787,104056.1725280118,12,664,1e-06,1.2,1000000.0,0.01,0.0,100,1e-08,0.1,1e-07,0.9,100000.0,10000000.0,59.80497,0.2844935,9.97623656447671e-07,8.976236564476709e-07
86,fff73148-2c24-11ec-a5b6-fbfaf7786e70,187910.40079907968,1024054.7848946833,85854.68876031002,102055.71203876966,8,843,1e-06,1.2,1000000.0,0.01,0.0,100,1e-08,0.1,1e-07,0.9,100000.0,10000000.0,58.33625,0.1652953,1.0000000000000002e-06,9.000000000000002e-07
87,fff835c0-2c24-11ec-a5b6-fbfaf7786e70,181543.41805673315,1288697.8662052895,140763.2588340768,40780.15922265634,11,919,1e-06,1.2,1000000.0,0.01,0.0,100,1e-08,0.1,1e-07,0.9,100000.0,10000000.0,60.43291,0.4916469,9.999999999999997e-07,8.999999999999997e-07
88,fff93efc-2c24-11ec-a5b6-fbfaf7786e70,188150.68754610544,989569.1249288803,85817.37277614817,102333.31476995727,15,1291,1e-06,1.2,1000000.0,0.01,0.0,100,1e-08,0.1,1e-07,0.9,100000.0,10000000.0,68.81288,0.3525274,1.0000000000000004e-06,9.000000000000004e-07
89,fffa4608-2c24-11ec-a5b6-fbfaf7786e70,187660.8048596749,788493.2748527098,113869.76714357774,73791.03771609717,13,1282,1e-06,1.2,1000000.0,0.01,0.0,100,1e-08,0.1,1e-07,0.9,100000.0,10000000.0,56.79387,0.37204,9.869681815598525e-07,8.869681815598525e-07
90,fffb4b84-2c24-11ec-a5b6-fbfaf7786e70,185834.10359247567,840547.7658222992,128433.54600282788,57400.55758964779,11,1312,1e-06,1.2,1000000.0,0.01,0.0,100,1e-08,0.1,1e-07,0.9,100000.0,10000000.0,59.97107,0.307725,1e-06,9e-07
