,id,pop,phage,immune,susceptible,richness,phageRichness,pS,b,a,c,f,beta,adsp,d,m,l,popinit,phageinit,nodf,Q
0,d6c5989c-6b17-11eb-aed6-7504bac17f24,187974.99356738635,1013367.0734198622,87012.61494788632,100962.37861950003,6,13,1e-06,1.2,1000000.0,0.01,0.0,100,1e-08,0.1,1.2149011538021778e-08,0.9,100000.0,10000000.0,45.16129,0.2962963
1,d6c7b5a0-6b17-11eb-aed6-7504bac17f24,187922.36920810922,1021364.1368723963,87099.34331457605,100823.02589353317,13,836,1e-06,1.2,1000000.0,0.01,0.0,100,1e-08,0.1,7.422297275436647e-07,0.9,100000.0,10000000.0,65.59638,0.1996695
2,d6c9462c-6b17-11eb-aed6-7504bac17f24,187124.47582892468,1149045.7746271314,86003.15504925036,101121.32077967432,13,29,1e-06,1.2,1000000.0,0.01,0.0,100,1e-08,0.1,2.97658351091007e-08,0.9,100000.0,10000000.0,64.34745,0.3779931
3,d6cac6a0-6b17-11eb-aed6-7504bac17f24,188388.07289174516,945627.977570851,87682.69565252632,100705.37723921884,9,4,1e-06,1.2,1000000.0,0.01,0.0,100,1e-08,0.1,1.7716458333611148e-09,0.9,100000.0,10000000.0,17.85714,0.3877551
4,d6cc2d74-6b17-11eb-aed6-7504bac17f24,194289.20408307202,359630.7576296082,49732.77201947532,144556.4320635967,7,9,1e-06,1.2,1000000.0,0.01,0.0,100,1e-08,0.1,5.368903379841639e-09,0.9,100000.0,10000000.0,50,0.37
5,d6cd8020-6b17-11eb-aed6-7504bac17f24,130359.20217467852,6834178.7142602075,116512.81010499496,13846.39206968355,10,34,1e-06,1.2,1000000.0,0.01,0.0,100,1e-08,0.1,2.323832079755594e-08,0.9,100000.0,10000000.0,72.79339,0.2334219
6,d6cec4e4-6b17-11eb-aed6-7504bac17f24,189799.56567550873,952762.656330284,56042.88892486968,133756.67675063905,12,135,1e-06,1.2,1000000.0,0.01,0.0,100,1e-08,0.1,1.472057919495825e-07,0.9,100000.0,10000000.0,80.65501,0.1648607
7,d6cffd14-6b17-11eb-aed6-7504bac17f24,185706.32595390044,718450.7921926642,148272.40618369577,37433.91977020467,11,81,1e-06,1.2,1000000.0,0.01,0.0,100,1e-08,0.1,8.834782690831302e-08,0.9,100000.0,10000000.0,77.30444,0.2273472
8,d6d12b12-6b17-11eb-aed6-7504bac17f24,177649.9085773603,2345553.3634103965,93142.84067967617,84507.06789768413,17,1278,1e-06,1.2,1000000.0,0.01,0.0,100,1e-08,0.1,7.265051206089438e-07,0.9,100000.0,10000000.0,81.42046,0.1498419
9,d6d254ce-6b17-11eb-aed6-7504bac17f24,178747.53347329175,1715641.2987517926,152138.33645457256,26609.197018719195,11,210,1e-06,1.2,1000000.0,0.01,0.0,100,1e-08,0.1,1.7829814230135324e-07,0.9,100000.0,10000000.0,81.13203,0.2351521
