,HostRichness,PhageRichness,time
0,1,1,1
1,1,1,2
2,1,1,3
3,1,1,4
4,1,1,5
5,1,1,6
6,1,1,7
7,1,3,8
8,1,7,9
9,1,10,10
10,1,13,11
11,1,15,12
12,1,19,13
13,1,19,14
14,1,19,15
15,1,15,16
16,1,15,17
17,1,13,18
18,1,13,19
19,1,13,20
20,1,11,21
21,1,11,22
22,1,10,23
23,1,7,24
24,1,7,25
25,1,7,26
26,1,7,27
27,1,3,28
28,1,3,29
29,1,3,30
30,1,3,31
31,1,1,32
32,1,1,33
33,1,1,34
34,1,1,35
35,1,1,36
36,1,1,37
37,1,1,38
38,1,1,39
39,1,1,40
40,1,1,41
41,1,1,42
42,1,1,43
43,1,1,44
44,1,1,45
45,1,1,46
46,1,1,47
47,1,1,48
48,1,1,49
49,1,1,50
50,1,1,51
51,1,1,52
52,1,1,53
53,1,1,54
54,1,1,55
55,1,1,56
56,1,1,57
57,1,1,58
58,1,1,59
59,1,1,60
60,1,1,61
61,1,1,62
62,1,1,63
63,1,1,64
64,1,1,65
65,1,1,66
66,1,1,67
67,1,1,68
68,1,1,69
69,1,1,70
70,1,1,71
71,1,1,72
72,1,1,73
73,1,1,74
74,1,1,75
75,1,1,76
76,1,1,77
77,1,1,78
78,1,2,79
79,1,2,80
80,1,2,81
81,1,3,82
82,1,3,83
83,1,3,84
84,1,3,85
85,1,4,86
86,1,7,87
87,1,8,88
88,1,12,89
89,1,12,90
90,1,8,91
91,1,8,92
92,1,7,93
93,1,7,94
94,1,4,95
95,1,4,96
96,1,3,97
97,1,3,98
98,1,3,99
99,1,3,100
100,1,3,101
101,1,3,102
102,1,3,103
103,1,3,104
104,1,3,105
105,1,3,106
106,1,3,107
107,1,3,108
108,1,3,109
109,1,2,110
110,1,2,111
111,1,2,112
112,1,2,113
113,1,2,114
114,1,2,115
115,1,2,116
116,1,2,117
117,1,2,118
118,1,2,119
119,1,1,120
120,1,1,121
121,1,1,122
122,1,1,123
123,1,1,124
124,1,1,125
125,1,1,126
126,1,1,127
127,1,1,128
128,1,1,129
129,1,1,130
130,1,1,131
131,1,1,132
132,1,1,133
133,1,1,134
134,1,1,135
135,1,1,136
136,1,1,137
137,1,1,138
138,1,1,139
139,1,1,140
140,1,1,141
141,1,1,142
142,1,1,143
143,1,1,144
144,1,1,145
145,1,1,146
146,1,2,147
147,1,3,148
148,1,3,149
149,1,3,150
150,1,5,151
151,1,6,152
152,1,7,153
153,1,7,154
154,1,8,155
155,1,8,156
156,1,8,157
