,host,phage,resistant,vulnerable,time
0,100000.0,100000.0,0.0,117821.78217821782,1
1,117821.78217821782,99000.0,0.0,138586.84802818278,2
2,138586.84802818278,99597.92079207921,0.0,162669.53562134877,3
3,162669.53562134877,102060.79443433267,0.0,190445.2603360258,4
4,190445.2603360258,106796.67882310034,0.0,222267.44218398695,5
5,222267.44218398695,114422.04011212976,0.0,258433.5644673987,6
6,258433.5644673987,125868.90086759377,0.0,299136.7059714734,7
7,299136.7059714734,142557.88461695972,0.0,344397.4263965776,8
8,344397.4263965776,166681.9625683846,0.0,393968.26222320454,9
9,393968.26222320454,201678.12135330023,0.0,447198.24521440675,10
10,447198.24521440675,253019.61031617044,0.0,502836.1569802723,11
11,502836.1569802723,329552.5824489554,0.0,558736.977514552,12
12,558736.977514552,445737.1828774612,0.0,611417.2459827166,13
13,611417.2459827166,625308.3262838385,0.0,655396.2110649248,14
14,655396.2110649248,906870.3589273285,0.0,682320.4873471728,15
15,682320.4873471728,1351106.7804858494,0.0,680185.3604610692,16
16,680185.3604610692,2045695.1556645213,0.0,633956.4530171596,17
17,633956.4530171596,3093432.3472622903,0.0,530976.0353668673,18
18,530976.0353668673,4549080.371203115,0.0,375678.35602789075,19
19,375679.35602789075,6268080.728142804,1.0408956010890598,207538.98950095,20
20,207540.0303965511,7760577.692388336,1.1013105184541108,86195.63765309371,21
21,86197.73896361217,8434080.130150363,2.250020543396019,30473.99475564013,22
22,30476.244776183525,8244954.940488698,2.4226387386299275,11408.35396627702,23
23,11410.77660501565,7646589.503384452,2.613467513427312,4960.864059434593,24
24,4963.477526948021,6960442.052767886,2.8211444936679113,2498.8159079258803,25
25,2501.6370524195486,6295474.673628084,3.0460738875260716,1425.0993551354031,26
26,1428.1454290229292,5680084.409103561,3.289290040074611,900.5221556496369,27
27,903.8114456897115,5119361.184358881,3.5521121993143687,619.5607732389552,28
28,623.1128854382696,4611574.154275352,3.8360421465304593,457.72936129327786,29
29,461.56540343980834,4152988.1742518013,4.142734303969861,359.16419332947254,30
30,363.3069276334424,3739400.206988634,4.473990505112983,296.6803875034462,31
31,301.15437800855915,3366668.9390827618,4.831764234826739,256.126287104578,32
