,host,phage,resistant,vulnerable,time
0,100000.0,100000.0,0,108181.81818181818,1
1,108181.81818181818,139000.0,0,115788.26907301066,2
2,115788.26907301066,198782.63636363635,0,122464.32135597228,3
3,122464.32135597228,291686.189920217,0,127741.31682350863,4
4,127741.31682350863,437551.2122858894,0,130969.9672977515,5
5,130969.9672977515,667673.5944293987,0,131231.99215371226,6
6,131231.99215371226,1029387.6602436125,0,127267.90989630205,7
7,127267.90989630205,1588385.0016451194,0,117546.54486771555,8
8,117546.54486771555,2420087.65390365,0,100764.08911921355,9
9,100764.08911921355,3571999.304280895,0,77150.02892942852,10
10,77150.02892942852,4978455.729381416,0,50291.26203950351,11
11,50291.26203950351,6362643.373816987,0,26993.443585065073,12
12,26993.443585065073,7294311.325800339,0,12368.408245380098,13
13,12368.408245380098,7529683.241418277,0,5461.519957159857,14
14,5461.519957159857,7233048.912681366,0,2589.3381279578825,15
15,2589.3381279578825,6703310.882253069,0,1367.9498238162319,16
16,1367.9498238162319,6118027.849328089,0,803.5250947086238,17
17,803.5250947086238,5547233.924476375,0,518.0796571911604,18
18,518.0796571911604,5014351.506184963,0,361.724835414635,19
19,361.724835414635,4525643.012624045,0,270.26829235530937,20
20,270.26829235530937,4081101.194983688,0,213.96489780907103,21
21,213.96489780907103,3678394.836190401,0,178.0150508760267,22
22,178.0150508760267,3314409.101048834,0,154.58907139510532,23
23,154.58907139510532,2985859.2629972105,0,139.32722612929774,24
24,139.32722612929774,2689535.0846303273,0,129.70205403584825,25
25,129.70205403584825,2422417.7309355983,0,124.20709938358142,26
26,124.20709938358142,2181711.895352958,0,121.93496345092935,27
27,121.93496345092935,1964868.527938103,0,122.34842037694689,28
28,122.34842037694689,1769555.6473877789,0,125.15255841180841,29
29,125.15255841180841,1593660.9441063134,0,130.22169807590683,30
30,130.22169807590683,1435270.351133815,0,137.5577904497674,31
31,137.5577904497674,1292659.1423978144,0,147.26755719665454,32
32,147.26755719665454,1164264.5233016543,0,159.55173261434058,33
33,159.55173261434058,1048678.217093648,0,174.7023624233713,34
34,174.7023624233713,944630.2556740949,0,193.10618507302897,35
35,193.10618507302897,850975.8728793714,0,215.25298496479,36
36,215.25298496479,766683.4962429987,0,241.74845377250813,37
37,241.74845377250813,690823.7980830376,0,273.3315085558665,38
38,273.3315085558665,622559.7456413114,0,310.8963130645557,39
39,310.8963130645557,561137.5805299475,0,355.5194854893331,40
40,355.5194854893331,505878.6549410055,0,408.4931833883493,41
41,408.4931833883493,456172.0530706158,0,471.3649532825536,42
42,471.3649532825536,411467.92931679916,0,545.985429414667,43
43,545.985429414667,371271.4990353897,0,634.565169078243,44
44,634.565169078243,335137.62239311903,0,739.7421221072653,45
45,739.7421221072653,302665.92679769715,0,864.6614465374633,46
46,864.6614465374633,273496.418319324,0,1013.0695927567596,47
47,1013.0695927567596,247305.5373499569,0,1189.4247692405609,48
48,1189.4247692405609,223802.6184430083,0,1399.0260490733915,49
49,1399.0260490733915,202726.7188499128,0,1648.1634392520052,50
50,1648.1634392520052,183843.78477144113,0,1944.2911570427073,51
51,1944.2911570427073,166944.12885680763,0,2296.226057088232,52
52,2296.226057088232,151840.19713906368,0,2714.3725138924215,53
53,2714.3725138924215,138364.60856935955,0,3210.9739282576024,54
54,3210.9739282576024,126368.45585536475,0,3800.3891816191363,55
55,3800.3891816191363,115719.86277364644,0,4499.389535171266,56
56,4499.389535171266,106302.80101774054,0,5327.467320449063,57
57,5327.467320449063,98016.1796972137,0,6307.1418927983395,58
58,6307.1418927983395,90773.23389913196,0,7464.240282149549,59
59,7464.240282149549,84501.25687394175,0,8828.119365848193,60
60,8828.119365848193,79141.74584525621,0,10431.782936144575,61
61,10431.782936144575,74651.06787853394,0,12311.830803281093,62
62,12311.830803281093,71001.80539737582,0,14508.158746702768,63
63,14508.158746702768,68185.01971006015,0,17063.309385721113,64
64,17063.309385721113,66213.78928054712,0,20021.357999783257,65
65,20021.357999783257,65128.559575757514,0,23426.20886475334,66
66,23426.20886475334,65005.11843383638,0,27319.183393346066,67
67,27319.183393346066,65966.44165082723,0,31735.808760621167,68
68,31735.808760621167,68200.32914034501,0,36701.770870909146,69
69,36701.770870909146,71985.81998105661,0,42228.07905616311,70
70,42228.07905616311,77733.07263035729,0,48305.590729581,71
71,48305.590729581,86044.10521525622,0,54899.13270644843,72
72,54899.13270644843,97806.11021671434,0,61941.478724764704,73
73,61941.478724764704,114335.90525405863,0,69327.32400080012,74
74,69327.32400080012,137604.7764382306,0,76907.05162311882,75
75,76907.05162311882,170589.17630334283,0,84479.44579041596,76
76,84479.44579041596,217815.86055571042,0,91781.58149188585,77
77,91781.58149188585,286198.9941022732,0,98473.1011978999,78
78,98473.1011978999,386292.29656250426,0,104111.59023523449,79
79,104111.59023523449,534056.1289219601,0,108117.48201208044,80
80,108117.48201208044,753097.5370287636,0,109734.46358088043,81
81,109734.46358088043,1076761.5294498294,0,108012.84032074205,82
82,108012.84032074205,1548058.835814503,0,101889.0585854725,83
83,101889.0585854725,2212583.0882487865,0,90501.91463032024,84
84,90501.91463032024,3095971.0181525582,0,73895.48426920745,85
85,73895.48426920745,4159312.3097729664,0,53952.30935971573,86
86,53952.30935971573,5249420.62584766,0,34556.53007419693,87
87,34556.53007419693,6112249.5545314215,0,19666.419323032005,88
88,19666.419323032005,6535997.46328387,0,10538.482295073729,89
89,10538.482295073729,6512238.098849013,0,5722.956883691725,90
90,5722.956883691725,6197296.907903636,0,3301.9649574104938,91
91,3301.9649574104938,5751353.904854676,0,2056.490583899696,92
92,2056.490583899696,5269273.282721538,0,1381.3269258721832,93
93,1381.3269258721832,4795440.647254146,0,993.8124024684163,94
94,993.8124024684163,4348354.531837354,0,759.6750420764675,95
95,759.6750420764675,3934693.2311112313,0,612.2361253971976,96
96,612.2361253971976,3555870.44040503,0,516.6637961511484,97
97,516.6637961511484,3210950.854834682,0,453.863854567975,98
98,453.863854567975,2897984.7814349905,0,412.92016160725257,99
99,412.92016160725257,2614631.22695406,0,387.3808416912244,100
100,387.3808416912244,2358458.310607663,0,373.3502247594704,101
101,373.3502247594704,2127089.225217635,0,368.46777815172976,102
102,368.46777815172976,1918271.6339734322,0,371.3423773951755,103
103,371.3423773951755,1729907.894881711,0,381.23047480735437,104
104,381.23047480735437,1560064.8071343044,0,397.8504723289514,105
105,397.8504723289514,1406972.5732319287,0,421.27649146221205,106
106,421.27649146221205,1269018.1629525255,0,451.88067112191845,107
107,451.88067112191845,1144735.9235017963,0,490.30684142480726,108
108,490.30684142480726,1032796.0637650361,0,537.4659888723306,109
109,537.4659888723306,931997.7535702494,0,594.5479279318364,110
110,594.5479279318364,841252.4719750466,0,663.0468090037587,111
111,663.0468090037587,759578.0328565354,0,744.7987552789848,112
112,744.7987552789848,686088.0449461687,0,842.0316100509403,113
113,842.0316100509403,619983.1283088016,0,957.4272089134726,114
114,957.4272089134726,560542.8378974193,0,1094.197140105858,115
115,1094.197140105858,507118.2810350238,0,1256.1733295819313,116
116,1256.1733295819313,459125.40105826064,0,1447.915054848617,117
117,1447.915054848617,416038.8922627753,0,1674.834150686206,118
118,1674.834150686206,377385.73207050865,0,1943.3403568220945,119
119,1943.3403568220945,342744.24557251943,0,2261.0076483274734,120
120,2261.0076483274734,311733.5577652666,0,2636.7642380491425,121
121,2636.7642380491425,284013.8785846432,0,3081.105173906584,122
122,3081.105173906584,259281.9911531708,0,3606.3272267664265,123
123,3606.3272267664265,237268.2799516236,0,4226.782804406794,124
124,4226.782804406794,217734.2205408454,0,4959.14660376752,125
125,4959.14660376752,200470.34325739436,0,5822.684197764766,126
126,5822.684197764766,185294.7018590679,0,6839.505503457778,127
127,6839.505503457778,172051.9030821383,0,8034.777704022545,128
128,8034.777704022545,160612.78747017676,0,9436.861357223454,129
129,9436.861357223454,150874.90013751588,0,11077.319944652583,130
130,11077.319944652583,142763.9591466894,0,12990.737176360344,131
131,12990.737176360344,136236.62928698308,0,15214.258750386953,132
132,15214.258750386953,131285.0561581009,0,17786.757685265435,133
133,17786.757685265435,127943.83413308811,0,20747.507732207665,134
134,20747.507732207665,126300.40999751954,0,24134.242032175218,135
135,24134.242032175218,126510.42078948981,0,27980.479463567623,136
136,27980.479463567623,128820.22097367764,0,32312.02427002285,137
137,32312.02427002285,133600.0114587964,0,37142.588230402005,138
138,37142.588230402005,141392.75569530335,0,42468.544909798184,139
139,42468.544909798184,152986.77535318016,0,48262.886744599135,140
140,48262.886744599135,169524.01394235165,0,54468.48589889198,141
141,54468.48589889198,192662.03214652534,0,60990.710505420015,142
142,60990.710505420015,224816.47391987476,0,67689.26461620278,143
143,67689.26461620278,269522.23726859957,0,74368.77373131903,144
144,74368.77373131903,331964.44753002323,0,80767.19252337761,145
145,80767.19252337761,419738.16831451375,0,86540.86127902444,146
146,86540.86127902444,543880.6113864366,0,91245.75744338719,147
147,91245.75744338719,720126.2433052816,0,94317.94971709579,148
148,94317.94971709579,970085.095148485,0,95065.51177823363,149
149,95065.51177823363,1321409.128038679,0,92703.65063957586,150
150,92703.65063957586,1804810.346859401,0,86494.75081883045,151
151,86494.75081883045,2444161.600716595,0,76073.0652944361,152
152,76073.0652944361,3235641.46885812,0,61959.69774793802,153
153,61959.69774793802,4118188.62914847,0,45986.17549045025,154
154,45986.17549045025,4956663.20761569,0,30965.621665225055,155
155,30965.621665225055,5577893.009005239,0,19289.152925927137,156
156,19289.152925927137,5866446.03867392,0,11607.212732503465,157
157,11607.212732503465,5834280.431187764,0,7074.565877288517,158
158,7074.565877288517,5582678.128312449,0,4508.083897190782,159
159,4508.083897190782,5217935.934014382,0,3043.690169915567,160
160,3043.690169915567,4811403.54542613,0,2181.3466929411557,161
161,2181.3466929411557,4402020.8570896,0,1653.7752105559334,162
162,1653.7752105559334,4008870.2062111045,0,1319.3712921937533,163
163,1319.3712921937533,3640469.059419898,0,1101.4792538142535,164
164,1101.4792538142535,3299957.4922767873,0,957.2372559774878,165
165,957.2372559774878,2987771.5097643877,0,861.859083399495,166
166,861.859083399495,2703008.3891752716,0,800.5796799386792,167
167,800.5796799386792,2444121.6507039876,0,764.4122301426867,168
168,764.4122301426867,2209297.3848649617,0,747.8416227872526,169
169,747.8416227872526,1996642.83468943,0,747.5336488056239,170
170,747.5336488056239,1804293.0976178022,0,761.5940810867014,171
171,761.5940810867014,1630472.7598896294,0,789.1360556244019,172
172,789.1360556244019,1473510.1000768612,0,830.0282666871149,173
173,830.0282666871149,1331856.8098158324,0,884.7516711957601,174
174,884.7516711957601,1204087.9749509506,0,954.325779296357,175
175,954.325779296357,1088899.239811568,0,1040.2817059450763,176
176,1040.2817059450763,985101.2224468922,0,1144.6689909019303,177
177,1144.6689909019303,891612.5358252595,0,1270.0888356106414,178
178,1270.0888356106414,807452.2282288609,0,1419.7497883409958,179
179,1419.7497883409958,731732.1321017506,0,1597.54397931532,180
180,1597.54397931532,663648.4923622666,0,1808.143421206594,181
181,1808.143421206594,602478.6606274797,0,2057.115762452281,182
182,2057.115762452281,547568.6969152234,0,2351.0612899596936,183
183,2351.0612899596936,498330.330740034,0,2697.7704093514367,184
184,2697.7704093514367,454238.16290208756,0,3106.4011067687657,185
185,3106.4011067687657,414818.9549577883,0,3587.6771577500017,186
186,3587.6771577500017,379651.17035987816,0,4154.10242772777,187
187,4154.10242772777,348360.175899775,0,4820.1869776046615,188
188,4820.1869776046615,320615.06518669927,0,5602.6759711659615,189
189,5602.6759711659615,296126.1390220097,0,6520.767537450244,190
190,6520.767537450244,274643.10925711924,0,7596.298958166291,191
191,7596.298958166291,255954.12930042561,0,8853.871684968963,192
192,8853.871684968963,239885.80639052464,0,10320.874508505083,193
193,10320.874508505083,226304.42468072454,0,12027.350676420065,194
194,12027.350676420065,215118.71409511316,0,14005.639255779139,195
195,14005.639255779139,206284.65292186596,0,16289.704538305503,196
196,16289.704538305503,199813.01495053293,0,18914.051635555923,197
197,18914.051635555923,195780.69884009543,0,21912.114473363028,198
198,21912.114473363028,194347.35956690914,0,25313.99798731648,199
199,25313.99798731648,195780.5754033054,0,29143.461158498612,200
200,29143.461158498612,200486.86441237805,0,33414.063804971425,201
201,33414.063804971425,209068.29558551768,0,38124.40318847059,202
202,38124.40318847059,222391.99073159238,0,43252.453652184406,203
203,43252.453652184406,241697.74506906854,0,48749.02728763025,204
204,48749.02728763025,268752.6710927048,0,54530.386324543906,205
