,host,phage,resistant,vulnerable,time
0,100000.0,100000.0,0.0,108181.81818181818,1
1,108181.81818181818,139001.0,0.0,115788.25931091057,2
2,115788.25931091057,198785.06645454545,0.0,122464.28688477507,3
3,122464.28688477507,291691.74623579084,0.0,127741.22416881399,4
4,127741.22416881399,437561.49790762214,0.0,130969.76655460216,5
5,130969.76655460216,667691.0909369717,0.0,131231.61168720486,6
6,131231.61168720486,1029420.9787652282,0.0,127267.1972056385,7
7,127267.1972056385,1588446.4942138107,0.0,117545.26668766618,8
8,117545.26668766618,2420184.797618029,0.0,100762.08690142138,9
9,100762.08690142138,3572140.5284565133,0.0,77147.3435149918,10
10,77147.3435149918,4978638.513937745,0.0,50288.32775472921,11
11,50288.32775472921,6362843.467335406,0.0,26990.985982427388,12
12,26990.985982427388,7294459.233515144,0.0,12366.923040365085,13
13,12366.923040365085,7529753.080077446,0.0,5460.786832513593,14
14,5460.786832513593,7233050.483506758,0.0,2588.9915839412583,15
15,2588.9915839412583,6703283.647636921,0.0,1367.7742498575924,16
16,1367.7742498575924,6117960.928800941,0.0,803.4312452554428,17
17,803.4312452554428,5547168.077377008,0.0,518.0244816473437,18
18,518.0244816473437,5014289.529667123,0.0,361.68954049652797,19
19,361.68954049652797,4525565.729336067,0.0,270.24472499238976,20
20,270.24472499238976,4081029.7203691937,0.0,213.9481761781396,21
21,213.9481761781396,3678330.8444291656,0.0,178.00251054673933,22
22,178.00251054673933,3314339.0783002353,0.0,154.57942945550445,23
23,154.57942945550445,2985795.9777862416,0.0,139.31951554370684,24
24,139.31951554370684,2689477.93893733,0.0,129.69567316227153,25
25,129.69567316227153,2422366.1591848275,0.0,124.20165841093211,26
26,124.20165841093211,2181657.2594591826,0.0,121.9303011765939,27
27,121.9303011765939,1964819.2642168375,0.0,122.34434346491349,28
28,122.34434346491349,1769511.2357179052,0.0,125.14893185522357,29
29,125.14893185522357,1593620.9116290149,0.0,130.21842604208936,30
30,130.21842604208936,1435223.4265868864,0.0,137.55494549912217,31
31,137.55494549912217,1292617.85735278,0.0,147.2650796670037,32
32,147.2650796670037,1164226.420240187,0.0,159.54960986168714,33
33,159.54960986168714,1048643.8827091511,0.0,174.70058618664692,34
34,174.70058618664692,944592.8937599867,0.0,193.10487466441586,35
35,193.10487466441586,850942.2069520012,0.0,215.2521745311022,36
36,215.2521745311022,766653.1595890798,0.0,241.74819664103774,37
37,241.74819664103774,690796.4600527638,0.0,273.33187863412417,38
38,273.33187863412417,622533.2434200629,0.0,310.89745808104914,39
39,310.89745808104914,561113.6941646439,0.0,355.52153683413866,40
40,355.52153683413866,505857.12397210975,0.0,408.4963047536032,41
41,408.4963047536032,456152.6427753508,0.0,471.3693461705069,42
42,471.3693461705069,411448.5475239184,0.0,545.9914284990266,43
43,545.9914284990266,371254.0195123894,0.0,634.5730914851673,44
