,host,phage,resistant,vulnerable,time
0,100000.0,100000.0,0.0,117821.78217821782,1
1,117821.78217821782,99000.0,0.0,138586.84802818278,2
2,138586.84802818278,99597.92079207921,0.0,162669.53562134877,3
3,162669.53562134877,102060.79443433267,0.0,190445.2603360258,4
4,190445.2603360258,106796.67882310034,0.0,222267.44218398695,5
5,222267.44218398695,114422.04011212976,0.0,258433.5644673987,6
6,258433.5644673987,125868.90086759377,0.0,299136.7059714734,7
7,299136.7059714734,142557.88461695972,0.0,344397.4263965776,8
8,344397.4263965776,166681.9625683846,0.0,393968.26222320454,9
9,393968.26222320454,201678.12135330023,0.0,447198.24521440675,10
10,447198.24521440675,253020.61031617044,0.0,502836.11417470523,11
11,502836.11417470523,329553.88492737606,0.0,558736.8698696985,12
12,558736.8698696985,445738.9318518922,0.0,611417.0418714168,13
13,611417.0418714168,625311.7366724932,0.0,655395.8083760989,14
14,655395.8083760989,906875.1900606406,0.0,682319.7967467324,15
15,682319.7967467324,1351113.6495119962,0.0,680184.2772444285,16
16,680184.2772444285,2045707.7162058817,0.0,633954.7077814281,17
17,633955.7077814281,3093452.3465460567,1.0156145367520262,530973.4185609807,18
18,530974.4341755174,4549107.922442789,1.0415595503988735,375675.17255673767,19
19,375676.21411628806,6268110.976682573,1.084155182965674,207536.19845819825,20
20,207538.28261338122,7760601.184507323,2.205122856543081,86194.01559474542,21
21,86196.22071760196,8434088.166881142,2.3611802040641727,30473.357193071373,22
22,30475.71837327544,8244949.529329055,2.5423266971458,11408.132324288643,23
23,11410.67465098579,7646574.8852732945,2.7425833602747334,4960.78438760231,24
24,4963.5269709625845,6960427.221052869,2.960520566728607,2498.783118458346,25
25,2501.7436390250746,6295461.759767903,3.196562514073263,1425.0838658795503,26
26,1428.2804283936237,5680068.951010764,3.4517945021460994,900.5145584066527,27
27,903.9663529087987,5119347.173066938,3.7276010997206663,619.5567983495687,28
28,623.2843994492893,4611561.497753239,4.0255582809307615,457.72720090311594,29
29,461.7527591840467,4152974.021063764,4.347402200909067,359.1631392181985,30
30,363.51054141910754,3739387.455214065,4.695023707920789,296.67996871544915,31
31,301.3749924233699,3366657.4548161095,5.070472793184489,256.126260616506,32
