,HostRichness,PhageRichness,time
0,1,1,1
1,1,2,2
2,1,3,3
3,1,5,4
4,1,7,5
5,1,9,6
6,1,16,7
7,1,30,8
8,1,43,9
9,1,59,10
10,1,83,11
11,1,117,12
12,1,131,13
13,1,136,14
14,1,140,15
15,1,122,16
16,1,119,17
17,1,85,18
18,1,85,19
19,1,84,20
20,1,59,21
21,1,59,22
22,1,59,23
23,1,43,24
24,1,43,25
25,1,43,26
26,1,43,27
27,1,30,28
28,1,30,29
29,1,30,30
30,1,30,31
31,1,17,32
32,1,17,33
33,1,16,34
34,1,16,35
35,1,9,36
36,1,9,37
37,1,9,38
38,1,9,39
39,1,7,40
40,1,7,41
41,1,7,42
42,1,7,43
43,1,5,44
44,1,5,45
45,1,5,46
46,1,5,47
47,1,3,48
48,1,3,49
49,1,4,50
50,1,4,51
51,1,2,52
52,1,2,53
53,1,2,54
54,1,1,55
55,1,1,56
56,1,1,57
57,1,1,58
58,1,1,59
59,1,1,60
60,1,1,61
61,1,1,62
62,1,1,63
63,1,1,64
64,1,1,65
65,1,1,66
66,1,1,67
67,1,2,68
68,1,2,69
69,1,2,70
70,1,3,71
71,1,3,72
72,1,3,73
73,1,3,74
74,1,3,75
75,1,5,76
76,1,7,77
77,1,7,78
78,1,8,79
79,1,10,80
80,1,14,81
81,1,21,82
82,1,31,83
83,1,44,84
84,1,56,85
85,1,74,86
86,1,92,87
87,1,102,88
88,1,111,89
89,1,119,90
90,1,111,91
91,1,103,92
92,1,92,93
93,1,92,94
94,1,75,95
95,1,75,96
96,1,56,97
97,1,56,98
98,1,56,99
99,1,44,100
100,1,44,101
101,1,44,102
102,1,31,103
103,1,31,104
104,1,31,105
105,1,31,106
106,1,21,107
107,1,21,108
108,1,21,109
109,1,14,110
110,1,14,111
111,1,14,112
112,1,14,113
113,1,10,114
114,1,10,115
115,1,10,116
116,1,9,117
117,1,9,118
118,1,8,119
119,1,7,120
120,1,7,121
121,1,7,122
122,1,8,123
123,1,8,124
124,1,7,125
125,1,5,126
126,1,5,127
127,1,5,128
128,1,5,129
129,1,3,130
130,1,3,131
131,1,3,132
132,1,3,133
133,1,3,134
134,1,3,135
135,1,4,136
136,1,4,137
137,1,4,138
138,1,4,139
139,1,4,140
140,1,4,141
141,1,4,142
142,1,4,143
143,1,6,144
144,1,7,145
145,1,8,146
146,1,11,147
147,1,13,148
148,1,15,149
149,1,19,150
150,1,30,151
151,1,42,152
152,1,52,153
153,1,62,154
154,1,82,155
155,1,99,156
156,1,109,157
157,1,111,158
158,1,105,159
159,1,110,160
160,1,89,161
161,1,62,162
162,1,62,163
163,1,52,164
164,1,52,165
165,1,52,166
166,1,42,167
167,1,42,168
168,1,30,169
169,1,30,170
170,1,30,171
171,1,19,172
172,1,19,173
173,1,19,174
174,1,19,175
175,1,15,176
176,1,15,177
177,1,15,178
178,1,13,179
179,1,13,180
180,1,13,181
181,1,11,182
182,1,11,183
183,1,11,184
184,1,8,185
185,1,8,186
186,1,7,187
187,1,7,188
188,1,7,189
189,1,6,190
190,1,6,191
191,1,6,192
192,1,4,193
193,1,4,194
194,1,4,195
195,1,4,196
196,1,5,197
197,1,5,198
198,1,5,199
199,1,5,200
200,1,5,201
201,1,6,202
202,1,6,203
203,1,6,204
204,1,8,205
205,1,9,206
206,1,10,207
207,1,11,208
208,1,15,209
209,1,17,210
210,1,20,211
211,1,24,212
212,1,30,213
213,1,40,214
214,1,46,215
215,1,59,216
216,1,74,217
217,1,86,218
218,1,101,219
219,1,109,220
220,1,113,221
221,1,115,222
222,1,106,223
223,1,89,224
224,1,88,225
225,1,77,226
226,1,60,227
227,1,59,228
228,1,59,229
229,1,46,230
230,1,46,231
231,1,40,232
232,1,40,233
233,1,41,234
234,1,31,235
235,1,30,236
236,1,30,237
237,1,24,238
238,1,24,239
239,1,20,240
240,1,20,241
241,1,20,242
242,1,17,243
243,1,17,244
244,1,17,245
245,1,15,246
246,1,15,247
247,1,11,248
248,1,11,249
249,1,11,250
250,1,10,251
251,1,10,252
252,1,10,253
253,1,10,254
254,1,9,255
255,1,8,256
256,1,8,257
257,1,8,258
258,1,6,259
259,1,6,260
260,1,7,261
261,1,7,262
262,1,8,263
263,1,9,264
264,1,9,265
265,1,9,266
266,1,11,267
267,1,12,268
268,1,14,269
269,1,15,270
270,1,18,271
271,1,21,272
272,1,27,273
273,1,38,274
274,1,46,275
275,1,56,276
276,1,70,277
277,1,81,278
278,1,86,279
279,1,94,280
280,1,98,281
281,1,103,282
282,1,93,283
283,1,85,284
284,1,75,285
285,1,73,286
286,1,57,287
287,1,57,288
288,1,46,289
289,1,46,290
290,1,38,291
291,1,38,292
292,1,38,293
293,1,27,294
294,1,28,295
295,1,22,296
296,1,22,297
297,1,23,298
298,1,19,299
299,1,18,300
300,1,15,301
301,1,15,302
302,1,15,303
303,1,14,304
304,1,14,305
305,1,12,306
306,1,12,307
307,1,11,308
308,1,11,309
309,1,11,310
310,1,9,311
311,1,9,312
312,1,9,313
313,1,10,314
314,1,10,315
315,1,10,316
316,1,10,317
317,1,9,318
318,1,9,319
319,1,10,320
320,1,12,321
321,1,14,322
322,1,14,323
323,1,15,324
324,1,18,325
325,1,21,326
326,1,21,327
327,1,24,328
328,1,30,329
329,1,33,330
330,1,39,331
331,1,49,332
332,1,57,333
333,1,67,334
334,1,81,335
335,1,90,336
336,1,96,337
337,1,102,338
338,1,108,339
339,1,106,340
340,1,94,341
341,1,82,342
342,1,82,343
343,1,67,344
344,1,58,345
345,1,59,346
346,1,51,347
347,1,51,348
348,1,50,349
349,1,40,350
350,1,40,351
351,1,33,352
352,1,33,353
353,1,30,354
354,1,30,355
355,1,30,356
356,1,24,357
357,1,24,358
358,1,22,359
359,1,22,360
