,HostRichness,PhageRichness,time
0,1,1,1
1,1,1,2
2,1,1,3
3,1,1,4
4,1,1,5
5,1,1,6
6,1,3,7
7,1,4,8
8,1,4,9
9,1,8,10
10,1,10,11
11,1,12,12
12,2,14,13
13,2,18,14
14,2,22,15
15,2,28,16
16,2,37,17
17,2,56,18
18,2,84,19
19,3,120,20
20,3,155,21
21,3,176,22
22,3,182,23
23,3,164,24
24,3,126,25
25,3,123,26
26,3,120,27
27,3,84,28
28,3,84,29
29,3,84,30
30,3,56,31
31,3,56,32
32,3,56,33
33,3,37,34
34,3,37,35
35,3,37,36
36,3,37,37
37,3,28,38
38,3,28,39
39,3,28,40
40,3,28,41
41,3,22,42
42,3,22,43
43,3,22,44
44,3,22,45
45,3,18,46
46,3,18,47
47,3,18,48
48,3,18,49
49,3,14,50
50,3,14,51
51,3,14,52
52,3,12,53
53,3,12,54
54,3,12,55
55,3,10,56
56,3,10,57
57,3,8,58
58,3,8,59
59,3,4,60
60,3,4,61
61,3,4,62
62,3,4,63
63,3,3,64
64,3,1,65
65,3,1,66
66,3,1,67
67,3,1,68
68,3,1,69
69,3,1,70
70,3,1,71
71,3,1,72
72,3,1,73
73,3,1,74
74,3,1,75
75,3,1,76
76,3,1,77
77,3,1,78
78,3,1,79
79,3,1,80
80,3,1,81
81,3,1,82
82,3,1,83
83,3,2,84
84,3,2,85
85,3,2,86
86,3,2,87
87,3,2,88
88,3,2,89
89,3,3,90
90,3,4,91
91,3,7,92
92,3,10,93
93,3,10,94
94,3,12,95
95,3,13,96
96,3,19,97
97,3,26,98
98,3,53,99
99,3,84,100
100,3,141,101
101,3,182,102
102,3,221,103
103,3,226,104
104,3,188,105
105,3,142,106
106,3,141,107
107,3,141,108
108,3,84,109
109,3,84,110
110,3,84,111
111,3,84,112
112,3,53,113
113,3,53,114
114,3,53,115
115,3,53,116
116,3,53,117
117,3,26,118
118,3,26,119
119,3,26,120
120,3,26,121
121,3,26,122
122,3,19,123
123,3,19,124
124,3,19,125
125,3,19,126
126,3,19,127
127,3,13,128
128,3,13,129
129,3,13,130
130,3,13,131
131,3,13,132
132,3,12,133
133,3,12,134
134,3,12,135
135,3,12,136
136,3,10,137
137,3,10,138
138,3,10,139
139,3,10,140
140,3,10,141
141,3,10,142
142,3,10,143
143,3,10,144
144,3,7,145
145,3,7,146
146,3,7,147
147,3,4,148
148,3,4,149
149,3,3,150
150,3,3,151
151,3,3,152
152,3,2,153
153,3,2,154
154,3,2,155
155,3,2,156
156,3,2,157
