,id,pop,phage,immune,susceptible,richness,phageRichness,pS,b,a,c,f,beta,adsp,d,m,l,popinit,phageinit,nodf,Q
0,03296ac0-6bc3-11eb-a4fc-e3569337d8a3,101039.51252061117,8966344.184586506,2028.1969533894444,99011.31556722173,5,399,1.0102576413888336e-07,1.2,1000000.0,0.01,0.0,100,1e-08,0.1,1e-07,0.9,100000.0,10000000.0,70.2049,0.2232331
1,032b6b9a-6bc3-11eb-a4fc-e3569337d8a3,182944.88874189067,1432073.129084651,117304.05460382128,65640.83413806939,9,173,3.7335264772496995e-07,1.2,1000000.0,0.01,0.0,100,1e-08,0.1,1e-07,0.9,100000.0,10000000.0,74.71743,0.2364261
2,032cedf8-6bc3-11eb-a4fc-e3569337d8a3,186468.31129119627,1228794.803018888,89898.63053429508,96569.68075690119,14,126,9.419259607439258e-07,1.2,1000000.0,0.01,0.0,100,1e-08,0.1,1e-07,0.9,100000.0,10000000.0,83.90096,0.1831
3,032e603e-6bc3-11eb-a4fc-e3569337d8a3,101010.09465782653,8990826.750591248,0.0,101010.09465782653,1,456,1.0252596249648054e-09,1.2,1000000.0,0.01,0.0,100,1e-08,0.1,1e-07,0.9,100000.0,10000000.0,,
4,032fb86c-6bc3-11eb-a4fc-e3569337d8a3,101010.10343226041,8990823.767820628,0.19351885221840348,101009.90991340819,3,418,1.6167414629542248e-08,1.2,1000000.0,0.01,0.0,100,1e-08,0.1,1e-07,0.9,100000.0,10000000.0,66.11001,0.2471722
5,0330ff9c-6bc3-11eb-a4fc-e3569337d8a3,101053.2731695431,8988300.861331064,65.4885374516889,100987.78463209141,3,425,1.081776886445362e-07,1.2,1000000.0,0.01,0.0,100,1e-08,0.1,1e-07,0.9,100000.0,10000000.0,48.78712,0.196116
6,03323a10-6bc3-11eb-a4fc-e3569337d8a3,101010.09809914585,8990825.850552402,0.0,101010.09809914585,1,431,1.5374068501297185e-09,1.2,1000000.0,0.01,0.0,100,1e-08,0.1,1e-07,0.9,100000.0,10000000.0,,
7,033367b4-6bc3-11eb-a4fc-e3569337d8a3,101010.09281233282,8990825.746670982,0.0,101010.09281233282,1,472,1.8204623329846182e-09,1.2,1000000.0,0.01,0.0,100,1e-08,0.1,1e-07,0.9,100000.0,10000000.0,,
8,03348cf2-6bc3-11eb-a4fc-e3569337d8a3,176344.8083371842,2093082.6577743036,150911.93486010883,25432.873477075373,6,229,9.312057476790094e-08,1.2,1000000.0,0.01,0.0,100,1e-08,0.1,1e-07,0.9,100000.0,10000000.0,74.28779,0.1911102
9,0335a9e8-6bc3-11eb-a4fc-e3569337d8a3,101010.09880976865,8990827.312405441,4.802132025361061e-10,101010.09880976817,2,459,9.488004698309014e-08,1.2,1000000.0,0.01,0.0,100,1e-08,0.1,1e-07,0.9,100000.0,10000000.0,46.02805,0.1701975
10,0336ba2c-6bc3-11eb-a4fc-e3569337d8a3,101010.09709097349,8990825.226305129,0.0,101010.09709097349,1,417,1.224249472658556e-09,1.2,1000000.0,0.01,0.0,100,1e-08,0.1,1e-07,0.9,100000.0,10000000.0,,
11,0337c5de-6bc3-11eb-a4fc-e3569337d8a3,101010.09439418634,8990825.663862938,0.0,101010.09439418634,1,483,3.546468469916844e-09,1.2,1000000.0,0.01,0.0,100,1e-08,0.1,1e-07,0.9,100000.0,10000000.0,,
12,0338cf38-6bc3-11eb-a4fc-e3569337d8a3,101010.09530428787,8990826.045219319,6.068148650228977e-09,101010.0953042818,2,447,6.233100055024863e-08,1.2,1000000.0,0.01,0.0,100,1e-08,0.1,1e-07,0.9,100000.0,10000000.0,46.79581,0.176028
