,pop,phage,immune,vulnerable,richness,phageRichness,pS,b,a,c,beta,absp,d,m,l,popinit,phageinit
867,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.927392655246776,2401753.21906066,0.028193055052574426,144.0,1.2989404800401968e-08,0.22426260071456275,0.0,0.327960198388911,350371.9366196818,4057800.112108927
868,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.9438178040395236,53799557.15905337,0.06552513368044907,70.0,4.149376714731561e-08,0.05518781811636192,0.0,0.8687241529413507,100376.19300323629,1327361.1719715742
869,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.3740980004862053,23931148.80450827,0.0029168678626791387,57.0,7.328875686712661e-08,0.24145401392134908,0.0,0.7880056220034274,1896283.8618915922,251601.59594307953
870,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.909025891089204,343392.529551191,0.03666843769308573,171.0,1.5224318908844873e-09,0.26725119767968714,0.0,0.35168857728851144,923055.8062166615,6187272.045015725
871,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.3550119143168553,4996998.555946131,0.09233475597080638,86.0,4.117332494973194e-08,0.09811473894388872,0.0,0.5257259918132992,1190360.7321318074,554815.3527749907
872,443601.0086774393,6779605.217392489,0.0,443601.00867740106,1.0,1.0,0.0,1.1442664054822707,5420052.412729868,0.003909241472993014,78.0,7.49898894713029e-09,0.25614504769895574,0.0,0.8144594981504135,3746034.1384098963,678120.5996117109
873,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.1448073146525521,1580888.431360154,0.010225655471366796,144.0,3.2091566225405375e-08,0.19939142325648276,0.0,0.7850529438446285,2478746.352080873,216580.75957242513
874,513331.82322100014,0.0,0.0,513331.82322100014,1.0,1.0,0.0,1.8772158605924583,585183.0162697085,0.0034368976732901827,75.0,1.2604675357181906e-09,0.20007734638054264,0.0,0.8918399547317715,4770836.272305671,852849.6712376185
875,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0535377664468322,55535719.295170784,0.0023388392597640797,121.0,7.526944309838337e-08,0.2753483822719157,0.0,0.1802026558093449,2012648.5463036408,467373.5013228087
876,198279.02201431134,0.0,0.0,198279.02201431134,1.0,1.0,0.0,1.357978464528755,553885.3357436291,0.03804754108648835,84.0,2.36233834918176e-09,0.21065891114739047,0.0,0.8424347899893843,124337.08269341914,118519.26183236012
