,id,pop,phage,immune,susceptible,richness,phageRichness,pS,b,a,c,f,beta,adsp,d,m,l,popinit,phageinit,nodf,Q
872,58a3b542-6bc2-11eb-9407-c971238d537f,119149.45617623517,8305496.284907532,63333.65141993543,55815.80475629974,6,15,1e-06,1.2,1000000.0,0.01,0.0,100,1e-08,0.1,2.1509606464668443e-08,0.9,100000.0,10000000.0,74.55556,0.2880886
873,58a47a22-6bc2-11eb-9407-c971238d537f,189278.11186473139,801941.5603144882,88463.63046503993,100814.48139969146,14,761,1e-06,1.2,1000000.0,0.01,0.0,100,1e-08,0.1,4.265279398051453e-07,0.9,100000.0,10000000.0,81.21488,0.1488434
874,58a54092-6bc2-11eb-9407-c971238d537f,187926.3001004525,1022292.1298214964,86859.09191178225,101067.20818867025,12,678,1e-06,1.2,1000000.0,0.01,0.0,100,1e-08,0.1,9.035170971941661e-07,0.9,100000.0,10000000.0,76.77028,0.1783689
875,58a60c02-6bc2-11eb-9407-c971238d537f,187921.32247813707,1019357.1472041226,87395.08315626995,100526.23932186712,22,978,1e-06,1.2,1000000.0,0.01,0.0,100,1e-08,0.1,9.720304389993933e-07,0.9,100000.0,10000000.0,67.7675,0.2110969
876,58a6d13c-6bc2-11eb-9407-c971238d537f,186920.3711325564,1146112.72541239,89899.73014005514,97020.64099250127,12,16,1e-06,1.2,1000000.0,0.01,0.0,100,1e-08,0.1,2.004947018165016e-08,0.9,100000.0,10000000.0,44.39964,0.4525
877,58a798e2-6bc2-11eb-9407-c971238d537f,187988.64088697845,1011688.4184601492,87015.31934850564,100973.32153847281,6,3,1e-06,1.2,1000000.0,0.01,0.0,100,1e-08,0.1,1.5894013197507694e-09,0.9,100000.0,10000000.0,0,
878,58a85d9a-6bc2-11eb-9407-c971238d537f,188308.58327022576,967584.5106669595,86213.58464924188,102094.99862098388,13,106,1e-06,1.2,1000000.0,0.01,0.0,100,1e-08,0.1,8.23027287875586e-08,0.9,100000.0,10000000.0,75.33599,0.2259135
879,58a9220c-6bc2-11eb-9407-c971238d537f,187237.70997716632,1133478.849271182,85970.27254901627,101267.43742815005,14,330,1e-06,1.2,1000000.0,0.01,0.0,100,1e-08,0.1,2.4433396205804594e-07,0.9,100000.0,10000000.0,82.53985,0.1159196
880,58a9e890-6bc2-11eb-9407-c971238d537f,193739.9365663337,168818.15760922385,80244.25326944592,113495.68329688777,14,18,1e-06,1.2,1000000.0,0.01,0.0,100,1e-08,0.1,1.582865570348508e-08,0.9,100000.0,10000000.0,53.21038,0.4121185
881,58aacfee-6bc2-11eb-9407-c971238d537f,186745.8390679986,1207047.718869117,86115.09614698209,100630.74292101651,13,144,1e-06,1.2,1000000.0,0.01,0.0,100,1e-08,0.1,8.226953911105602e-08,0.9,100000.0,10000000.0,76.05784,0.2894056
882,58ab9636-6bc2-11eb-9407-c971238d537f,185411.45451788598,1354629.326360798,93839.70434993593,91571.75016795006,14,532,1e-06,1.2,1000000.0,0.01,0.0,100,1e-08,0.1,3.9391822038813503e-07,0.9,100000.0,10000000.0,68.64744,0.3254723
883,58ac5aa8-6bc2-11eb-9407-c971238d537f,188011.56882326223,1008210.3127588814,87006.6510737354,101004.91774952684,5,1,1e-06,1.2,1000000.0,0.01,0.0,100,1e-08,0.1,1.1898697160308683e-09,0.9,100000.0,10000000.0,,
884,58ad2028-6bc2-11eb-9407-c971238d537f,187771.81526247907,1042333.8090497561,87449.83832350811,100321.97693897095,8,28,1e-06,1.2,1000000.0,0.01,0.0,100,1e-08,0.1,2.1668284426264818e-08,0.9,100000.0,10000000.0,60.09852,0.2684024
885,58ade6de-6bc2-11eb-9407-c971238d537f,189701.80815245246,744301.526597753,87304.83199718167,102396.9761552708,11,24,1e-06,1.2,1000000.0,0.01,0.0,100,1e-08,0.1,2.199865118088695e-08,0.9,100000.0,10000000.0,70.23136,0.3167996
886,58aeac18-6bc2-11eb-9407-c971238d537f,186589.01613497463,630772.0121493258,153805.15479334584,32783.8613416288,14,42,1e-06,1.2,1000000.0,0.01,0.0,100,1e-08,0.1,3.417554366452186e-08,0.9,100000.0,10000000.0,71.3768,0.255249
887,58af7562-6bc2-11eb-9407-c971238d537f,188002.92962369192,1009369.9663349738,87033.40502797357,100969.52459571835,7,11,1e-06,1.2,1000000.0,0.01,0.0,100,1e-08,0.1,1.1490674084755679e-08,0.9,100000.0,10000000.0,14.47368,0.1388889
888,58b03ace-6bc2-11eb-9407-c971238d537f,187985.45461955012,1012351.2875870564,86988.49137321748,100996.96324633264,8,20,1e-06,1.2,1000000.0,0.01,0.0,100,1e-08,0.1,2.510701000393069e-08,0.9,100000.0,10000000.0,57.83639,0.4189751
889,58b0ffae-6bc2-11eb-9407-c971238d537f,188009.18952752886,1008978.3656887179,86944.22296465746,101064.9665628714,7,3,1e-06,1.2,1000000.0,0.01,0.0,100,1e-08,0.1,1.968129989178183e-09,0.9,100000.0,10000000.0,12.5,0.25
890,58b1c542-6bc2-11eb-9407-c971238d537f,187996.65097303744,1010347.4104936037,87031.89946934106,100964.75150369637,9,14,1e-06,1.2,1000000.0,0.01,0.0,100,1e-08,0.1,1.4150463262958195e-08,0.9,100000.0,10000000.0,51.44357,0.2853186
891,58b28c70-6bc2-11eb-9407-c971238d537f,187168.0701185363,938353.7183110827,107838.55955994154,79329.51055859476,17,172,1e-06,1.2,1000000.0,0.01,0.0,100,1e-08,0.1,1.1141737520310979e-07,0.9,100000.0,10000000.0,80.72799,0.1864077
